Common,808
GPS Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:04:32,90:61:0c:2e:02:f4,xNonex,WPA2/WPA,-82,11,FidaInte,Unidentified,14.646520,121.060842
2018-04-24 22:05:15,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,-48,1,Fiberhom,Fiber,14.646040,121.060808
2018-04-24 22:04:16,e0:8e:3c:33:d8:ef,Aztech5068_3D8EF,WPA,-76,1,AztechEl,Unidentified,14.646678,121.060802
2018-04-24 22:05:15,cc:06:77:e1:7c:c8,PLDTHOMEFIBR17cc8,WPA2/WPA,-73,1,Fiberhom,Fiber,14.646040,121.060808
2018-04-24 22:05:47,ac:f9:70:ec:2d:e0,HUAWEI-U8YK,WPA2/WPA,-81,9,HuaweiTe,Unidentified,14.645692,121.060817
2018-04-24 22:05:31,28:10:7b:f1:02:bc,Diliman Bible Church,WPA2/WPA,-74,11,D-LinkIn,Unidentified,14.645893,121.060830
2018-04-24 22:05:09,90:61:0c:2a:47:af,Marco,WPA2,-75,11,FidaInte,Unidentified,14.646105,121.060807
2018-04-24 22:05:01,28:ff:3e:3d:de:c0,chase,WPA2/WPA,-83,5,Zte,Unidentified,14.646195,121.060817
2018-04-24 22:05:31,00:13:33:dc:91:af,PLDTHOMEDSLDAL1,WPA2/WPA,-64,11,Baudtec,Broadband,14.645893,121.060830
2018-04-24 22:05:56,ac:83:f3:c4:fa:e2,midr-cardvr-v1_midevfae2,WPA2,-50,1,AmpakTec,Unidentified,14.645650,121.060808
2018-04-24 22:06:46,00:13:33:e1:9b:5c,PLDTHOMEDSL,WPA2/WPA,-61,11,Baudtec,Broadband,14.645182,121.060827
2018-04-24 22:06:51,00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,-54,11,Baudtec,Broadband,14.645112,121.060813
2018-04-24 22:06:09,6c:27:79:b5:5b:9a,Hi po,WPA2,-82,11,Microsof,Phone,14.645588,121.060902
2018-04-24 22:05:35,78:62:56:13:66:b7,HUAWEI-66B7,WPA2,-69,1,HuaweiTe,Unidentified,14.645825,121.060818
2018-04-24 22:06:19,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,-64,4,Baudtec,Broadband,14.645473,121.060882
2018-04-24 22:06:39,00:13:33:ed:60:4c,B79e,WPA2/WPA,-59,6,Baudtec,Unidentified,14.645297,121.060868
2018-04-24 22:06:56,00:13:33:e1:c5:5a,PLDTHOMEDSL,WPA2/WPA,-61,5,Baudtec,Broadband,14.645052,121.060823
2018-04-24 22:06:40,00:13:33:ed:60:48,PLDTHOMEDSL,WPA2/WPA,-58,6,Baudtec,Broadband,14.645275,121.060858
2018-04-24 22:07:04,90:61:0c:41:1e:37,PLDTHOMEDSL07735,WPA2/WPA,-57,11,FidaInte,Broadband,14.645003,121.060853
2018-04-24 22:07:08,94:46:96:1d:8a:0d,PLDTHOMEDSLTPTE0,WPA2/WPA,-73,11,Baudtec,Broadband,14.644978,121.060873
2018-04-24 22:06:45,00:13:33:ea:82:37,PLDTHOMEDSL,WPA2/WPA,-71,11,Baudtec,Broadband,14.645197,121.060832
2018-04-24 22:05:37,70:28:8b:dd:98:93,AndroidAP,WPA2,-75,1,SamsungE,Phone,14.645800,121.060815
2018-04-24 22:07:12,88:d2:74:86:d2:0f,abegnot,WPA2/WPA,-63,1,Zte,Unidentified,14.644955,121.060902
2018-04-24 22:06:45,18:de:d7:34:4c:cc,HUAWEI-uAu6,WPA2/WPA,-70,8,HuaweiTe,Unidentified,14.645197,121.060832
2018-04-24 22:07:42,9c:6f:52:35:15:fc,survivor,WPA2/WPA,-74,9,Zte,Unidentified,14.644665,121.060868
2018-04-24 22:05:52,00:13:33:dc:c2:92,PLDTHOMEDSLLVMANN,WPA2/WPA,-83,11,Baudtec,Broadband,14.645682,121.060823
2018-04-24 22:05:54,9c:6f:52:35:15:e9,bayanDSLWIFI_15E9,WPA2/WPA,-84,1,Zte,Broadband,14.645665,121.060815
2018-04-24 22:06:33,e0:8e:3c:21:d1:67,bayanDSLWIFI_D167,WPA2/WPA,-78,1,AztechEl,Broadband,14.645380,121.060898
2018-04-24 22:06:15,00:26:b4:db:4f:33,SYNC_YV1U00F1,WPA2,-83,1,FordMoto,Unidentified,14.645537,121.060898
2018-04-24 22:07:11,14:b7:f8:62:66:cc,PREMIERADENTISTA OFFICE,WPA2,-71,1,Technico,Unidentified,14.644960,121.060898
2018-04-24 22:06:58,84:c9:b2:52:16:e9,A4 Site,WPA2/WPA,-64,6,D-LinkIn,Unidentified,14.645030,121.060822
2018-04-24 22:07:00,8c:4c:ad:01:f0:ad,TagsulokAko,WPA2,-66,8,Evoluzn,Unidentified,14.645008,121.060825
2018-04-24 22:06:27,cc:06:77:60:52:70,PLDTHOMEFIBR05270,WPA2/WPA,-81,10,Fiberhom,Fiber,14.645442,121.060912
2018-04-24 22:07:03,e0:8e:3c:1f:f5:73,Cura,WPA2/WPA,-54,10,AztechEl,Unidentified,14.645008,121.060848
2018-04-24 22:06:34,f0:98:38:72:db:98,ZGMKTGCORP,WPA2/WPA,-74,1,HuaweiTe,Unidentified,14.645368,121.060893
2018-04-24 22:06:53,e0:8e:3c:26:15:1c,FINNLEY,WPA,-70,1,AztechEl,Unidentified,14.645093,121.060822
2018-04-24 22:06:35,8c:79:67:b6:4a:82,GLOBE_B64A82,WPA2/WPA,-76,3,Zte,Unidentified,14.645350,121.060887
2018-04-24 22:07:40,34:ba:9a:56:18:5b,Rai,WPA2,-59,6,Asiatelc,Unidentified,14.644670,121.060865
2018-04-24 22:07:08,00:26:75:f5:fe:bc,Premiera Dentista,WPA,-76,11,AztechEl,Unidentified,14.644978,121.060873
2018-04-24 22:06:35,00:0c:43:30:50:78,TELPAD HC7,WPA2/WPA,-66,1,RalinkTe,Unidentified,14.645350,121.060887
2018-04-24 22:06:54,c4:12:f5:c8:32:d2,D-Link_DIR-600M,WPA2/WPA,-72,1,D-LinkIn,Unidentified,14.645080,121.060830
2018-04-24 22:07:14,00:13:33:f4:45:9f,PLDTHOMEDSLMIRANDA,WPA2/WPA,-72,2,Baudtec,Broadband,14.644937,121.060910
2018-04-24 22:07:13,08:63:61:eb:a1:a3,SMART-BRO-A1A3,WPA2,-78,2,HuaweiTe,Unidentified,14.644945,121.060907
2018-04-24 22:06:35,98:de:d0:cc:d4:72,K5MPCTV,WPA2,-84,2,Tp-LinkT,Unidentified,14.645350,121.060887
2018-04-24 22:07:33,cc:06:77:70:5d:28,xNonex,WPA2/WPA,-73,4,Fiberhom,Fiber,14.644728,121.060882
2018-04-24 22:08:18,94:46:96:1f:ef:be,PLDTHOMEDSLURUW0,WPA2/WPA,-60,5,Baudtec,Broadband,14.644310,121.060818
2018-04-24 22:07:56,7c:8b:ca:56:3e:34,Bawal Dito!,WPA2/WPA,-76,6,Tp-LinkT,Unidentified,14.644520,121.060840
2018-04-24 22:07:55,7c:8b:ca:56:48:88,Bawal Dito!,WPA2/WPA,-63,6,Tp-LinkT,Unidentified,14.644535,121.060845
2018-04-24 22:07:36,00:13:33:da:f9:62,PLDTHOMEDSL,WPA2/WPA,-71,6,Baudtec,Broadband,14.644710,121.060870
2018-04-24 22:07:43,5c:6a:80:a3:32:23,UNOMORATO_MAGINHAWA,WPA2/WPA,-71,9,ZyxelCom,Unidentified,14.644662,121.060875
2018-04-24 22:07:06,d0:03:4b:d7:9c:e8,Joseph Carmelos Wi-Fi Network,WPA2,-70,11,Apple,Phone,14.644990,121.060863
2018-04-24 22:07:26,e0:8e:3c:22:2b:d7,bayanDSLWIFI_2BD7,WPA2/WPA,-76,11,AztechEl,Broadband,14.644783,121.060888
2018-04-24 22:07:10,14:b7:f8:63:12:6a,REDONDOBEACH,WPA2,-85,1,Technico,Unidentified,14.644965,121.060892
2018-04-24 22:07:36,f0:98:38:9f:a6:e4,AG wifi,WPA2/WPA,-83,4,HuaweiTe,Unidentified,14.644710,121.060870
2018-04-24 22:07:35,50:c7:bf:40:52:29,Bawal Dito!,WPA2/WPA,-73,6,Tp-LinkT,Unidentified,14.644718,121.060873
2018-04-24 22:08:53,e6:8d:8c:82:4a:26,xNonex,WPA2/WPA,-81,6,None,Unidentified,14.644125,121.060982
2018-04-24 22:08:18,b8:bc:1b:67:5a:fa,HUAWEI-E5330-5AFA,WPA2,-56,7,HuaweiTe,Hotspot,14.644310,121.060818
2018-04-24 22:08:08,50:09:59:84:e3:dd,N2M3RC,WPA2/WPA,-71,11,Technico,Unidentified,14.644417,121.060810
2018-04-24 22:07:45,dc:09:4c:59:ae:c9,B315_9AEC9,WPA2/WPA,-81,11,HuaweiTe,Unidentified,14.644665,121.060883
2018-04-24 22:09:24,18:60:24:0b:31:da,DIRECT-D9-HP OfficeJet Pro 8720,WPA2,-61,1,HewlettP,Not an AP,14.643843,121.061063
2018-04-24 22:07:48,c0:56:27:65:cb:9e,Bawal Dito!,WPA2/WPA,-85,1,BelkinIn,Unidentified,14.644632,121.060877
2018-04-24 22:07:52,94:46:96:19:2a:3e,PLDTHOMEDSLNFNQ0,WPA2/WPA,-69,3,Baudtec,Broadband,14.644587,121.060857
2018-04-24 22:07:57,7c:8b:ca:56:66:ac,Bawal Dito!,WPA2/WPA,-73,6,Tp-LinkT,Unidentified,14.644517,121.060842
2018-04-24 22:07:56,cc:06:77:22:fb:78,Bawal Dito!,WPA2/WPA,-77,6,Fiberhom,Fiber,14.644520,121.060840
2018-04-24 22:09:40,18:60:24:0b:31:8b,DIRECT-89-HP OfficeJet Pro 8720,WPA2,-65,11,HewlettP,Not an AP,14.643678,121.061035
2018-04-24 22:09:18,00:0b:86:f2:fb:00,Bayan Guest,OPN,-62,11,ArubaNet,Unidentified,14.643883,121.061065
2018-04-24 22:09:21,00:0b:86:f2:fb:02,xNonex,OPN,-63,11,ArubaNet,Unidentified,14.643860,121.061068
2018-04-24 22:09:21,00:0b:86:f2:fb:01,xNonex,WPA,-63,11,ArubaNet,Unidentified,14.643860,121.061068
2018-04-24 22:09:23,90:61:0c:3a:82:73,PLDTHOMEDSL33395,WPA2/WPA,-61,1,FidaInte,Broadband,14.643843,121.061068
2018-04-24 22:09:10,e4:8d:8c:8c:85:29,GloboAsiatico,WPA2,-66,6,Routerbo,Unidentified,14.643940,121.061063
2018-04-24 22:08:54,e6:8d:8c:8c:85:29,Globo-Associates,OPN,-73,6,None,Unidentified,14.644117,121.060983
2018-04-24 22:08:54,e6:8d:8c:8c:85:2a,Globo-Guest,OPN,-72,6,None,Unidentified,14.644117,121.060983
2018-04-24 22:09:10,e6:8d:8c:8c:85:2b,PCSO,OPN,-66,6,None,Unidentified,14.643940,121.061063
2018-04-24 22:09:31,e4:8d:8c:82:4a:23,GloboAsiatico,WPA2,-82,6,Routerbo,Unidentified,14.643788,121.061062
2018-04-24 22:09:21,00:0b:86:f2:fa:a0,Bayan Guest,OPN,-68,11,ArubaNet,Unidentified,14.643860,121.061068
2018-04-24 22:08:45,ec:d0:9f:09:2b:0a,Mi Max 2,WPA2,-74,11,XiaomiCo,Unidentified,14.644192,121.060983
2018-04-24 22:09:22,00:0b:86:f2:fa:a1,xNonex,WPA,-68,11,ArubaNet,Unidentified,14.643852,121.061070
2018-04-24 22:09:22,00:0b:86:f2:fa:a2,xNonex,OPN,-68,11,ArubaNet,Unidentified,14.643852,121.061070
2018-04-24 22:09:40,c8:b5:ad:d2:19:40,MPW WI-FI,WPA2,-57,11,HewlettP,Not an AP,14.643678,121.061035
2018-04-24 22:09:40,c8:b5:ad:d2:19:41,MPW GUEST WI-FI,OPN,-57,11,HewlettP,Not an AP,14.643678,121.061035
2018-04-24 22:09:31,e6:8d:8c:82:4a:25,PCSO,OPN,-81,6,None,Unidentified,14.643788,121.061062
2018-04-24 22:09:10,e6:8d:8c:8c:85:2c,xNonex,WPA2/WPA,-66,6,None,Unidentified,14.643940,121.061063
2018-04-24 22:09:53,f4:cf:e2:32:db:00,BYOD@Bayan,OPN,-76,6,Cisco,Unidentified,14.643550,121.061048
2018-04-24 22:09:12,e6:8d:8c:5a:8b:3b,Globo-Associates,OPN,-68,6,None,Unidentified,14.643925,121.061065
2018-04-24 22:09:53,f4:cf:e2:32:db:02,Guest@Bayan,WPA,-73,6,Cisco,Unidentified,14.643550,121.061048
2018-04-24 22:09:47,c8:b5:ad:d2:1a:60,MPW WI-FI,WPA2,-75,1,HewlettP,Not an AP,14.643598,121.061023
2018-04-24 22:10:26,f2:9f:c2:81:4a:9b,TIERRAS CAFE,WPA2,-49,1,None,Unidentified,14.643185,121.061132
2018-04-24 22:09:46,c8:b5:ad:d2:1a:61,MPW GUEST WI-FI,OPN,-75,1,HewlettP,Not an AP,14.643612,121.061022
2018-04-24 22:09:26,48:00:33:f3:27:29,SKYbroadband2726,WPA2/WPA,-71,1,Technico,Broadband,14.643833,121.061062
2018-04-24 22:09:10,8c:25:05:c9:4a:f5,B315_94AF5,WPA2/WPA,-73,5,HuaweiTe,Unidentified,14.643940,121.061063
2018-04-24 22:09:14,e4:8d:8c:5a:8b:3b,GloboAsiatico,WPA2,-69,6,Routerbo,Unidentified,14.643912,121.061063
2018-04-24 22:09:14,e6:8d:8c:5a:8b:3c,Globo-Guest,OPN,-68,6,None,Unidentified,14.643912,121.061063
2018-04-24 22:09:12,e6:8d:8c:5a:8b:3e,xNonex,WPA2/WPA,-63,6,None,Unidentified,14.643925,121.061065
2018-04-24 22:09:12,e6:8d:8c:5a:8b:3d,PCSO,OPN,-63,6,None,Unidentified,14.643925,121.061065
2018-04-24 22:09:31,e6:8d:8c:82:4a:24,Globo-Guest,OPN,-82,6,None,Unidentified,14.643788,121.061062
2018-04-24 22:09:53,f4:cf:e2:32:db:01,WiFi@Bayan,WPA2/WPA,-74,6,Cisco,Unidentified,14.643550,121.061048
2018-04-24 22:09:36,88:3f:d3:06:6e:c0,xNonex,WPA2/WPA,-67,10,HuaweiTe,Unidentified,14.643740,121.061053
2018-04-24 22:09:58,38:d8:2f:2b:d8:7c,bayanDSLWiFi_D87C,WPA2/WPA,-63,9,Zte,Broadband,14.643510,121.061073
2018-04-24 22:10:57,18:a6:f7:76:32:a6,RBGM Sales Department,WPA2,-67,9,Tp-LinkT,Unidentified,14.643008,121.060972
2018-04-24 22:09:23,14:b7:f8:0b:8c:d7,SKYbroadband8CD4,WPA2/WPA,-82,1,Technico,Broadband,14.643843,121.061068
2018-04-24 22:10:52,4c:81:20:f3:29:df,Tereso,WPA2/WPA,-84,5,TaicangT,Unidentified,14.643017,121.061010
2018-04-24 22:09:31,c8:b5:ad:c9:76:61,MPW GUEST WI-FI,OPN,-79,6,HewlettP,Not an AP,14.643788,121.061062
2018-04-24 22:09:50,c8:b5:ad:c9:76:60,MPW WI-FI,WPA2,-80,6,HewlettP,Not an AP,14.643573,121.061028
2018-04-24 22:09:31,e6:8d:8c:82:4a:23,Globo-Associates,OPN,-82,6,None,Unidentified,14.643788,121.061062
2018-04-24 22:10:36,10:7b:44:55:ce:a0,WCC Flight Attendand Wifi,WPA2,-65,6,AsustekC,Unidentified,14.643072,121.061130
2018-04-24 22:10:58,a0:f3:c1:c1:01:dc,RBGM-2nd Floor,WPA2,-63,9,Tp-LinkT,Unidentified,14.643008,121.060963
2018-04-24 22:10:58,a0:f3:c1:56:d7:da,RBGM Training Room,WPA2,-75,9,Tp-LinkT,Unidentified,14.643008,121.060963
2018-04-24 22:10:00,b0:47:bf:12:c3:b4,AndroidAP,WPA2,-52,11,SamsungE,Phone,14.643493,121.061068
2018-04-24 22:09:56,a0:10:81:22:b4:45,BM9o-S2Vuem8,OPN,-79,11,SamsungE,Phone,14.643528,121.061073
2018-04-24 22:11:05,00:26:75:ac:36:2b,bayanDSLWiFi_362B,WPA2/WPA,-68,13,AztechEl,Broadband,14.642985,121.060913
2018-04-24 22:09:47,b0:47:bf:12:c4:1a,AndroidAP,WPA2,-69,1,SamsungE,Phone,14.643598,121.061023
2018-04-24 22:11:25,f0:9f:c2:d7:12:5b,Social Weather Stations,WPA2,-67,1,Ubiquiti,Unidentified,14.642985,121.060767
2018-04-24 22:11:26,50:09:59:85:97:b5,SocialWeatherStations2,WPA2/WPA,-86,1,Technico,Unidentified,14.642978,121.060755
2018-04-24 22:10:33,f0:9f:c2:3d:d6:40,Social Weather Stations,WPA2,-73,6,Ubiquiti,Unidentified,14.643107,121.061137
2018-04-24 22:10:36,02:9f:c2:3d:d6:40,xNonex,WPA2,-73,6,None,Unidentified,14.643072,121.061130
2018-04-24 22:10:32,f2:9f:c2:3d:d6:40,SWS Guest,WPA2,-76,6,None,Unidentified,14.643117,121.061140
2018-04-24 22:11:40,02:9f:c2:3d:02:96,xNonex,WPA2,-82,11,None,Unidentified,14.642963,121.060620
2018-04-24 22:11:10,f0:9f:c2:3d:d6:36,Social Weather Stations,WPA2,-80,1,Ubiquiti,Unidentified,14.642993,121.060878
2018-04-24 22:11:25,f2:9f:c2:d7:12:5b,SWS Guest,WPA2,-68,1,None,Unidentified,14.642985,121.060767
2018-04-24 22:11:25,02:9f:c2:d7:12:5b,xNonex,WPA2,-67,1,None,Unidentified,14.642985,121.060767
2018-04-24 22:11:35,44:d9:e7:fa:02:ea,Social Weather Stations,WPA2,-72,6,Ubiquiti,Unidentified,14.642967,121.060667
2018-04-24 22:11:35,56:d9:e7:fa:02:ea,xNonex,WPA2,-71,6,None,Unidentified,14.642967,121.060667
2018-04-24 22:11:35,46:d9:e7:fa:02:ea,SWS Guest,WPA2,-71,6,None,Unidentified,14.642967,121.060667
2018-04-24 22:11:50,38:d5:47:0a:ed:98,Newton,WPA2,-65,6,AsustekC,Unidentified,14.642933,121.060533
2018-04-24 22:11:03,f0:9f:c2:3d:02:96,Social Weather Stations,WPA2,-85,11,Ubiquiti,Unidentified,14.642988,121.060930
2018-04-24 22:11:37,00:1f:fb:ab:f3:33,HomeBro_ULTERA,WPA2,-69,10,GreenPac,Mobile broadband,14.642963,121.060648
2018-04-24 22:11:05,f4:cf:e2:1f:f0:00,BYOD@Bayan,OPN,-69,11,Cisco,Unidentified,14.642985,121.060913
2018-04-24 22:11:05,f4:cf:e2:1f:f0:02,Guest@Bayan,WPA,-69,11,Cisco,Unidentified,14.642985,121.060913
2018-04-24 22:11:05,f4:cf:e2:1f:f0:01,WiFi@Bayan,WPA2/WPA,-69,11,Cisco,Unidentified,14.642985,121.060913
2018-04-24 22:10:26,cc:06:77:6f:1c:c8,PLDTHOMEFIBRf1cc8,WPA2/WPA,-83,1,Fiberhom,Fiber,14.643185,121.061132
2018-04-24 22:11:45,36:69:87:0f:66:51,PATIS,WPA2/WPA,-73,1,None,Unidentified,14.642943,121.060577
2018-04-24 22:11:09,78:c1:a7:04:d2:d4,ZTEH108N_4D2D4,WPA,-80,1,Zte,Broadband,14.642990,121.060882
2018-04-24 22:10:45,a0:f3:c1:c1:01:b4,RBGM-Reception,WPA2,-69,2,Tp-LinkT,Unidentified,14.643047,121.061050
2018-04-24 22:12:08,08:86:3b:30:9d:d0,PMMG2,WPA,-61,4,BelkinIn,Unidentified,14.642890,121.060377
2018-04-24 22:10:52,60:e3:27:f0:47:f0,RBGM-Bidding,WPA2,-83,5,Tp-LinkT,Unidentified,14.643017,121.061010
2018-04-24 22:12:30,00:08:9f:dd:75:cc,JE&Co,WPA2/WPA,-55,5,EfmNetwo,Unidentified,14.642903,121.060180
2018-04-24 22:11:04,14:91:82:bb:20:74,RBGM VIP,WPA2/WPA,-78,11,BelkinIn,Unidentified,14.642987,121.060922
2018-04-24 22:11:10,02:9f:c2:3d:d6:36,xNonex,WPA2,-81,1,None,Unidentified,14.642993,121.060878
2018-04-24 22:11:10,f2:9f:c2:3d:d6:36,SWS Guest,WPA2,-78,1,None,Unidentified,14.642993,121.060878
2018-04-24 22:12:28,ac:f9:70:ec:81:38,HUAWEI-dHWC,WPA2/WPA,-75,3,HuaweiTe,Unidentified,14.642902,121.060200
2018-04-24 22:12:09,f0:98:38:07:e8:08,HUAWEI-QXN6,WPA2/WPA,-67,4,HuaweiTe,Unidentified,14.642888,121.060365
2018-04-24 22:11:58,70:4f:57:de:c1:5e,E-onna TP,WPA2,-67,8,Tp-LinkT,Unidentified,14.642910,121.060468
2018-04-24 22:12:18,f0:98:38:a0:31:38,Wapak Sound Studios,WPA2/WPA,-72,9,HuaweiTe,Unidentified,14.642898,121.060285
2018-04-24 22:11:40,f2:9f:c2:3d:02:96,SWS Guest,WPA2,-83,11,None,Unidentified,14.642963,121.060620
2018-04-24 22:12:00,c8:d7:19:e4:e4:f5,Home,WPA2/WPA,-62,11,Cisco-Li,Unidentified,14.642907,121.060447
2018-04-24 22:11:14,56:d9:e7:fa:59:22,xNonex,WPA2,-92,6,None,Unidentified,14.643002,121.060853
2018-04-24 22:12:00,00:13:33:ea:70:85,PLDTHOMEDSLniXyrol,WPA,-72,11,Baudtec,Broadband,14.642907,121.060447
2018-04-24 22:12:21,00:26:75:ab:9a:c2,bayanDSLWiFi_9AC2,WPA2/WPA,-74,11,AztechEl,Broadband,14.642908,121.060262
2018-04-24 22:11:22,80:2a:a8:d7:54:13,Social Weather Stations,WPA2,-87,11,Ubiquiti,Unidentified,14.642988,121.060792
2018-04-24 22:12:28,e0:8e:3c:16:7c:fd,malingap,WPA2/WPA,-65,1,AztechEl,Unidentified,14.642902,121.060200
2018-04-24 22:12:03,d0:b2:c4:2a:14:9a,SKYbroadband1497,WPA2/WPA,-79,1,Technico,Broadband,14.642902,121.060418
2018-04-24 22:12:34,70:5a:9e:83:fc:28,Hillcrestcafe1,WPA2/WPA,-59,6,Technico,Unidentified,14.642897,121.060140
2018-04-24 22:12:23,5c:6a:80:19:ee:46,TipsandTeas,WPA2/WPA,-73,13,ZyxelCom,Unidentified,14.642908,121.060240
2018-04-24 22:12:24,d2:5b:a8:32:78:8a,NIKKINICO,WPA2/WPA,-60,13,None,Unidentified,14.642910,121.060232
2018-04-24 22:12:17,5c:f2:86:2f:5b:d8,ESTORICO,WPA2/WPA,-89,9,IeeeRegi,Unidentified,14.642890,121.060295
2018-04-24 22:12:26,58:c5:cb:8c:d2:9d,AndroidAP,WPA2,-78,1,SamsungE,Phone,14.642907,121.060215
2018-04-24 22:42:10,fc:b4:e6:a9:0b:d4,SKYbroadband3892,WPA2/WPA,-79,6,AskeyCom,Broadband,14.643762,121.058060
2018-04-24 22:42:31,f0:98:38:f9:5b:24,Nandy,WPA2/WPA,-73,7,HuaweiTe,Unidentified,14.643792,121.058113
2018-04-24 22:42:27,bc:c0:0f:1f:08:e0,PLDTHOMEFIBRf08e0,WPA2/WPA,-78,5,Fiberhom,Fiber,14.643793,121.058085
2018-04-24 22:43:32,74:cc:39:87:88:78,PLDTHOMEFIBR78878,WPA2/WPA,-53,9,Fiberhom,Fiber,14.643882,121.058640
2018-04-24 22:42:38,fa:8f:ca:6d:d2:fe,xNonex,OPN,-75,11,None,Unidentified,14.643790,121.058162
2018-04-24 22:42:40,70:5a:9e:84:13:50,SKYbroadband134D,WPA2/WPA,-63,11,Technico,Broadband,14.643790,121.058177
