Common,109
e0:8e:3c:2f:78:81,bayanDSLWIFI_7881,WPA2/WPA,11
28:ff:3e:3d:e0:6c,bayanDSLWIFI_E06C,WPA2/WPA,1
74:91:1a:20:7a:38,DILNET-WIFI,OPN,1
fc:15:b4:af:a4:42,HP-Print-42-Officejet Pro 8610,WPA2,6
5c:f2:86:27:df:93,Globe_LTE MIFI_DF93,WPA2/WPA,7
34:97:f6:bc:b9:37,FyWs-ZGVhbm5lY2FwaXJhbA,OPN,1
34:ba:9a:56:82:58,Virus,WPA2,8
24:79:2a:21:36:48,DILNET-WIFI,OPN,1
80:00:0b:04:c7:7b,Elymm-YWNlcg==,WPA2,1
24:79:2a:1b:3e:d8,DILNET-WIFI,OPN,6
74:91:1a:20:7a:78,DILNET-WIFI,OPN,11
74:91:1a:20:78:68,DILNET-WIFI,OPN,1
24:79:2a:21:11:b8,DILNET-WIFI,OPN,1
e8:1d:a8:1f:75:58,DILNET-WIFI,OPN,1
e8:1d:a8:1f:75:78,DILNET-WIFI,OPN,6
74:91:1a:28:f8:48,DILNET-WIFI,OPN,1
00:22:3f:d1:3b:4c,CKC-Office,WPA,6
28:92:4a:5c:67:9f,HP-Print-9F-Deskjet 3520 series,OPN,6
da:0f:99:20:f1:11,DIRECT-11-HP M102 LaserJet,WPA2,6
113,42
BSSID,SSID,Encryption,Channel
3c:f7:a4:26:cb:61,SORRY KA MADAMOT AKO!,WPA2,1
a2:d6:05:82:5d:47,kim’s iPad,WPA2,1
9c:6f:52:35:04:03,Gazmen,WPA2/WPA,1
24:79:2a:21:15:38,DILNET-WIFI,OPN,4
74:cc:39:89:cc:d8,IAmTilin,WPA2/WPA,9
d0:04:92:03:78:20,PLDTHOMEFIBR_037820,WPA2/WPA,9
34:ba:9a:54:ca:e7,Blueberrycheesecake,WPA2,8
d0:04:92:10:fb:d8,PLDTHOMEFIBRNoNetworkAvailable,WPA2/WPA,9
36:69:87:9d:f8:ee,Cantada,WPA2,6
74:cc:39:8a:bd:18,PLDTHOMEFIBRadb18,WPA2/WPA,8
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,WPA2/WPA,9
74:cc:39:ba:de:e0,PLDTHOMEFIBRadee0,WPA2/WPA,9
34:ba:9a:57:40:d4,LeeJhay,WPA2,6
d0:fa:1d:e0:81:13,360行车记录仪-8113,WPA2,11
bc:c0:0f:7e:e1:88,PLDTHOMEFIBR_LILILIUZ,WPA,5
5c:f2:86:25:9f:2d,Xtianwifi,WPA2/WPA,6
38:a2:8c:94:f9:43,Mitsubishi Wireless TV 886,OPN,44
f0:8c:fb:7f:ba:38,PLDTHOMEFIBR_7fba38,WPA2/WPA,4
bc:c0:0f:82:03:d8,Betelgeuse,WPA2/WPA,9
f0:8c:fb:80:d7:90,PLDTHOMEFIBRza,WPA2/WPA,9
f0:b4:29:40:74:81,PLDTHOMEFIBR_DERF_plus,WPA2/WPA,1
18:a3:e8:1f:5a:08,PLDTHOMEFIBRk,WPA2/WPA,9
18:a3:e8:1f:5a:09,PLDTHOMEFIBRa08,WPA2,9
12:08:b1:76:37:14,DIRECT-LE-BRAVIA,WPA2,5
c0:4a:00:4a:46:44,Fonseca_WIFI,WPA2,9
74:cc:39:ca:62:98,PLDTHOMEFIBRa6298,WPA2/WPA,6
24:79:2a:2e:ce:38,DILNET-WIFI,OPN,9
74:cc:39:86:04:18,PLDTHOMEFIBR_860418,WPA2/WPA,4
b0:e1:7e:dd:36:62,HUAWEI-3662,WPA2,7
90:61:0c:3a:12:77,DacanayWifi,WPA2/WPA,4
70:18:8b:69:b6:2d,HP-Print-2D-LaserJet 1102,OPN,6
9c:ad:97:04:25:a1,HP-Print-A1-LaserJet 1102,OPN,6
24:79:2a:21:35:18,DILNET-WIFI,OPN,3
bc:c0:0f:7e:b2:e0,quicklean up,WPA2/WPA,13
24:79:2a:21:41:f8,DILNET-WIFI,OPN,13
24:79:2a:21:42:e8,DILNET-WIFI,OPN,8
f0:8c:fb:81:36:00,,WPA2/WPA,9
e8:1d:a8:1f:16:08,DILNET-WIFI,OPN,5
48:f8:b3:e3:38:30,FPI Admin Wifi,WPA2,9
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),WPA2,3
74:cc:39:ba:c0:b0,PLDTHOMEFIBRac0b0,WPA2/WPA,8
34:ba:9a:54:ad:0d,M,WPA2,9
